"scientific_name"	"datetime"	"description"	"place_guess"	"latitude"	"longitude"	"tag_list"	"common_name"	"url"	"image_url"	"user_login"	"id"	"species_guess"	"iconic_taxon_name"	"taxon_id"	"num_identification_agreements"	"num_identification_disagreements"	"observed_on_string"	"observed_on"	"time_observed_at"	"time_zone"	"positional_accuracy"	"public_positional_accuracy"	"geoprivacy"	"taxon_geoprivacy"	"coordinates_obscured"	"positioning_method"	"positioning_device"	"user_id"	"user_name"	"created_at"	"updated_at"	"quality_grade"	"license"	"sound_url"	"oauth_application_id"	"captive_cultivated"
"Vulpes vulpes"	"2009-08-23 13:08:00 +0700"	""	"<U+041E><U+043C><U+0441><U+043A><U+0438><U+0439> <U+0440>-<U+043D>, <U+041E><U+043C><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B>., <U+0420><U+043E><U+0441><U+0441><U+0438><U+044F>"	55.2650428006	73.1329318033	""	"Red Fox"	"https://www.inaturalist.org/observations/258713266"	"https://inaturalist-open-data.s3.amazonaws.com/photos/464244828/medium.jpeg"	"ver0niknik"	258713266	"<U+041E><U+0431><U+044B><U+043A><U+043D><U+043E><U+0432><U+0435><U+043D><U+043D><U+0430><U+044F> <U+043B><U+0438><U+0441><U+0438><U+0446><U+0430>"	"Mammalia"	42069	1	0	"2009/08/23 13:08"	"2009-08-23"	"2009-08-23 06:08:00 UTC"	"Asia/Omsk"	275	275	""	"open"	"false"	""	""	4440154	"<U+041D><U+0438><U+043A><U+043E><U+043D><U+043E><U+0432><U+0430> <U+0412><U+0435><U+0440><U+043E><U+043D><U+0438><U+043A><U+0430>"	"2025-01-17 04:57:38 UTC"	"2025-01-17 06:12:13 UTC"	"research"	"CC-BY-NC"	""	NA	"false"
"Vulpes vulpes"	"2025-01-16 08:44:40 -0800"	""	"Wallowa County, US-OR, US"	45.3778662207	-117.2674989111	""	"Red Fox"	"https://www.inaturalist.org/observations/258709140"	"https://inaturalist-open-data.s3.amazonaws.com/photos/464236858/medium.jpg"	"daniel_observer"	258709140	"Red Fox"	"Mammalia"	42069	1	0	"2025-01-16 08:44:40-08:00"	"2025-01-16"	"2025-01-16 16:44:40 UTC"	"Pacific Time (US & Canada)"	17	27190	"obscured"	"open"	"true"	""	""	1709572	"Daniel Patterson"	"2025-01-17 03:37:48 UTC"	"2025-01-17 06:07:02 UTC"	"research"	"CC-BY"	""	3	"false"
"Vulpes vulpes"	"2025-01-17 02:16:48 +0000"	""	"Brockley, London, UK"	51.4650810997	-0.0384856997	""	"Red Fox"	"https://www.inaturalist.org/observations/258708798"	"https://inaturalist-open-data.s3.amazonaws.com/photos/464236158/medium.jpeg"	"danm89"	258708798	"Red Fox"	"Mammalia"	42069	0	0	"2025-01-17 02:16:48"	"2025-01-17"	"2025-01-17 02:16:48 UTC"	"London"	NA	NA	""	"open"	"false"	"gps"	"gps"	8305474	"Dan McLaughlan"	"2025-01-17 03:33:00 UTC"	"2025-01-17 05:49:39 UTC"	"research"	"CC-BY"	""	2	"false"
"Vulpes vulpes"	"2025-01-04 00:00:00 -0600"	"Visible mange. Eyes nearly swollen or crusted shut. In visible discomfort. Was first observed eating an apple on my back patio. I offered a paper plate with canned salmon shortly after making this observation. Kept its distance until I went back inside at which point it approached and consumed all of the salmon. I was concerned it wasn't able to hunt with limited vision. The fox then moved to a neighbor's yard where it curled up against the house in a sunny spot. Scratched and groomed itself until it fell asleep. Remained there for an hour or so. Unsure if spooked or if it chose to move to another location independently."	""	NA	NA	"Mange, Red Fox, Fox"	"Red Fox"	"https://www.inaturalist.org/observations/258700058"	"https://inaturalist-open-data.s3.amazonaws.com/photos/464217342/medium.jpeg"	"wiscsam"	258700058	"Red Fox"	"Mammalia"	42069	0	0	"2025-01-04"	"2025-01-04"	""	"Central Time (US & Canada)"	192	27537	"private"	"open"	"true"	""	""	8882872	""	"2025-01-17 01:20:28 UTC"	"2025-01-17 01:21:17 UTC"	"research"	"CC-BY-NC"	""	NA	"false"
"Vulpes vulpes"	"2025-01-16 21:05:53 +0000"	""	"Lewes Road, Brighton, England, GB"	50.840545	-0.1223778333	""	"Red Fox"	"https://www.inaturalist.org/observations/258698016"	"https://inaturalist-open-data.s3.amazonaws.com/photos/464212990/medium.jpg"	"robsonpeisley"	258698016	"Red Fox"	"Mammalia"	42069	2	0	"2025-01-16 21:05:53Z"	"2025-01-16"	"2025-01-16 21:05:53 UTC"	"London"	10	10	""	"open"	"false"	""	""	2766291	"Robson Peisley"	"2025-01-17 00:50:06 UTC"	"2025-01-17 08:33:16 UTC"	"research"	"CC-BY-NC"	""	3	"false"
"Vulpes vulpes"	"2025-01-16 22:16:04 +0000"	""	"Hyde Park, London, England, GB"	51.5113216734	-0.1729383333	""	"Red Fox"	"https://www.inaturalist.org/observations/258694700"	"https://inaturalist-open-data.s3.amazonaws.com/photos/464206424/medium.jpg"	"judemagann"	258694700	"Red Fox"	"Mammalia"	42069	1	0	"2025-01-16 22:16:04Z"	"2025-01-16"	"2025-01-16 22:16:04 UTC"	"London"	20	20	""	"open"	"false"	""	""	2837372	"Jude Magann"	"2025-01-17 00:06:06 UTC"	"2025-01-17 01:50:58 UTC"	"research"	"CC-BY-NC"	""	3	"false"
"Vulpes vulpes"	"2025-01-13 10:22:00 -0700"	""	"Rocky View County, AB, Canada"	51.3634427964	-113.3866310357	""	"Red Fox"	"https://www.inaturalist.org/observations/258694216"	"https://inaturalist-open-data.s3.amazonaws.com/photos/464204444/medium.jpeg"	"charlie_myles"	258694216	"Red Fox"	"Mammalia"	42069	3	0	"2025/01/13 10:22 AM"	"2025-01-13"	"2025-01-13 17:22:00 UTC"	"America/Edmonton"	1353	1353	""	"open"	"false"	""	""	4321824	""	"2025-01-16 23:58:30 UTC"	"2025-01-17 02:02:55 UTC"	"research"	"CC-BY-NC"	""	NA	"false"
"Vulpes vulpes"	"2024-12-18 07:03:44 -0500"	""	"Green Hill Rd, Chester, NJ, US"	40.8126823581	-74.6400168096	""	"Red Fox"	"https://www.inaturalist.org/observations/258691481"	"https://inaturalist-open-data.s3.amazonaws.com/photos/464199433/medium.jpg"	"crifket"	258691481	"Red Fox"	"Mammalia"	42069	1	0	"2024-12-18 07:03:44-05:00"	"2024-12-18"	"2024-12-18 12:03:44 UTC"	"Eastern Time (US & Canada)"	56	56	""	"open"	"false"	""	""	6098061	""	"2025-01-16 23:15:17 UTC"	"2025-01-17 02:10:33 UTC"	"research"	"CC-BY-NC"	""	3	"false"
"Vulpes vulpes"	"2023-03-11 17:46:00 -0500"	""	"McLean, VA 22102, USA"	39.0002660972	-77.2552957758	""	"Red Fox"	"https://www.inaturalist.org/observations/258690929"	"https://inaturalist-open-data.s3.amazonaws.com/photos/464199435/medium.jpeg"	"pheebo67"	258690929	"Red Fox"	"Mammalia"	42069	0	0	"2023-03-11 17:46:00"	"2023-03-11"	"2023-03-11 22:46:00 UTC"	"Eastern Time (US & Canada)"	227	227	""	"open"	"false"	"gps"	"gps"	8511792	"Adam Hess"	"2025-01-16 23:09:15 UTC"	"2025-01-16 23:54:50 UTC"	"research"	"CC-BY-NC"	""	2	"false"
"Vulpes vulpes"	"2024-12-26 02:12:34 -0500"	""	"Green Hill Rd, Chester, NJ, US"	40.812717075	-74.6400779697	""	"Red Fox"	"https://www.inaturalist.org/observations/258690760"	"https://inaturalist-open-data.s3.amazonaws.com/photos/464198125/medium.jpg"	"crifket"	258690760	"Red Fox"	"Mammalia"	42069	0	0	"2024-12-26 02:12:34-05:00"	"2024-12-26"	"2024-12-26 07:12:34 UTC"	"Eastern Time (US & Canada)"	56	56	""	"open"	"false"	""	""	6098061	""	"2025-01-16 23:06:59 UTC"	"2025-01-17 00:25:39 UTC"	"research"	"CC-BY-NC"	""	3	"false"
"Vulpes vulpes"	"2020-05-05 19:23:00 +0200"	""	"Pychowice, Kraków, Poland"	50.0323642707	19.8915585306	""	"Red Fox"	"https://www.inaturalist.org/observations/258688535"	"https://inaturalist-open-data.s3.amazonaws.com/photos/464189573/medium.jpeg"	"szymon_czyzewski"	258688535	"Red Fox"	"Mammalia"	42069	2	0	"2020/05/05 7:23 PM"	"2020-05-05"	"2020-05-05 17:23:00 UTC"	"Warsaw"	8	8	""	"open"	"false"	""	""	1052380	"Szymon Czyzewski"	"2025-01-16 22:31:39 UTC"	"2025-01-17 01:30:27 UTC"	"research"	"CC-BY-NC"	""	NA	"false"
"Vulpes vulpes"	"2024-12-03 09:50:54 -0600"	""	"Finland, MN, US"	47.3786556672	-91.1924199183	""	"Red Fox"	"https://www.inaturalist.org/observations/258687007"	"https://inaturalist-open-data.s3.amazonaws.com/photos/464190594/medium.jpg"	"meaupton"	258687007	"Red Fox"	"Mammalia"	42069	0	0	"2024-12-03 09:50:54-06:00"	"2024-12-03"	"2024-12-03 15:50:54 UTC"	"Central Time (US & Canada)"	335	335	""	"open"	"false"	""	""	6237323	"Mea Upton"	"2025-01-16 22:09:19 UTC"	"2025-01-16 22:45:06 UTC"	"research"	"CC0"	""	3	"false"
